farm_id,county,district,species,production,capacity,x,y,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30
45,Fulton,Newfield,duck,conventional,14929,425903.8265,4662511.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Fulton,Dublin,chicken,layer,21024,427410.4066,4645624.773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Fulton,Linwood,chicken,broiler_2,859,420442.3671,4645442.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Allegheny,Guttenberg,duck,organic,414,445524.7676,4676170.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Allegheny,Cliffside Park,chicken,broiler_2,1409,447040.3736,4671429.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Fulton,Ocean,chicken,broiler_2,2018,431789.1025,4661515.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Fulton,Logan,chicken,broiler_1,5639,440985.1582,4676657.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Fulton,Harding,duck,conventional,16330,435284.8377,4650943.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Fulton,Hawthorne,chicken,broiler_2,1500,419694.894,4655921.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Fulton,Secaucus,chicken,broiler_2,2132,424074.9862,4678295.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Fulton,Trenton,chicken,layer,18617,413550.6406,4643740.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Allegheny,Guttenberg,chicken,broiler_2,1496,449104.9277,4679600.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Allegheny,Aberdeen,duck,conventional,15669,442680.6061,4667170.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Fulton,Roselle,duck,conventional,15475,413431.1627,4668025.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Allegheny,Demarest,duck,conventional,14053,438510.9057,4653545.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Fulton,Roselle,duck,conventional,12794,412991.3737,4670598.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Fulton,Linwood,chicken,broiler_2,2097,423897.4255,4645842.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Allegheny,Guttenberg,duck,organic,763,449747.241,4679637.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Allegheny,Rockleigh,duck,conventional,16799,437763.7774,4644403.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Fulton,Newfield,duck,conventional,14375,422261.3588,4661635.788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Fulton,Hightstown,duck,conventional,15946,414468.4042,4658677.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Fulton,Hightstown,duck,conventional,15064,410903.1398,4662536.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Fulton,Clifton,duck,conventional,16486,418983.6497,4661073.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Fulton,Hawthorne,duck,conventional,14043,422386.421,4655277.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Fulton,Secaucus,chicken,broiler_1,6450,426308.2474,4677276.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Fulton,Trenton,chicken,broiler_1,4514,406669.3581,4647491.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Allegheny,Aberdeen,duck,organic,927,447512.6404,4665144.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Allegheny,Guttenberg,chicken,broiler_1,5324,446603.95,4678095.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Fulton,Washington,chicken,broiler_1,6652,406825.7678,4664998.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Allegheny,Demarest,duck,conventional,16859,436794.256,4656636.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Fulton,Clifton,duck,conventional,15897,419649.3836,4661583.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Fulton,Clifton,chicken,broiler_2,964,418573.1461,4652830.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Fulton,Clifton,duck,conventional,14054,423201.3895,4656078.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Fulton,Ocean,chicken,broiler_1,5263,425673.6063,4658971.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Fulton,Trenton,chicken,broiler_1,5689,416529.8881,4645283.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Fulton,Providence,duck,organic,539,421074.7254,4637466.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Allegheny,Rockleigh,duck,conventional,17092,438714.6403,4644902.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Fulton,Harding,duck,conventional,16192,432036.9903,4640447.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Fulton,Newfield,chicken,broiler_1,5051,425182.5545,4662506.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Fulton,Clifton,duck,conventional,15754,420880.6799,4652738.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Fulton,Hawthorne,duck,conventional,17014,426291.76,4658606.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Fulton,Providence,duck,organic,924,426458.5388,4639380.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Fulton,Hightstown,chicken,broiler_2,1487,417341.5203,4661131.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Fulton,Newfield,duck,conventional,14616,428071.1473,4665388.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Fulton,Ocean,duck,conventional,14867,426808.3762,4660590.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Fulton,Pleasantville,duck,conventional,15338,409066.8919,4657842.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Allegheny,Aberdeen,chicken,broiler_1,4579,440072.5807,4662792.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Fulton,Harding,chicken,broiler_2,1009,431033.715,4640956.627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Fulton,Harding,chicken,broiler_2,1443,435232.2577,4645678.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Fulton,Hightstown,duck,conventional,14611,416031.0096,4663820.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Fulton,Hawthorne,duck,conventional,14066,430684.1738,4652928.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Allegheny,Demarest,chicken,broiler_2,2611,436594.1946,4654617.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Fulton,Hulmeville,duck,organic,819,435425.8382,4668550.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Fulton,Providence,duck,organic,997,419541.1574,4638913.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Allegheny,Cliffside Park,chicken,broiler_2,1243,455348.3501,4671743.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Fulton,Providence,chicken,broiler_2,732,423713.5485,4640217.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Fulton,Hawthorne,duck,conventional,15087,420227.4418,4655608.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Fulton,Ocean,chicken,broiler_1,4617,433924.8299,4658424.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Allegheny,Aberdeen,chicken,layer,18792,445093.8082,4668068.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Fulton,Pleasantville,duck,conventional,17009,409194.3385,4656204.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Fulton,Ocean,chicken,layer,17913,433868.6176,4656346.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Fulton,Ocean,chicken,broiler_2,1217,424650.789,4657141.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Fulton,Secaucus,duck,conventional,16403,416160.0655,4681313.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Fulton,Dublin,duck,conventional,15730,427198.1854,4646715.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Fulton,Linwood,chicken,broiler_2,622,418894.7044,4646916.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Fulton,Pleasantville,chicken,broiler_1,6230,409517.806,4659000.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Fulton,Roselle,chicken,broiler_1,4459,419736.7823,4669496.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Fulton,Clifton,duck,organic,1122,414541.0436,4650119.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Allegheny,Demarest,duck,conventional,13034,436500.8308,4650953.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Fulton,Hawthorne,duck,conventional,13965,430990.0378,4653722.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Allegheny,Demarest,chicken,broiler_2,2431,440694.2506,4651270.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Fulton,Hawthorne,chicken,broiler_2,680,426509.2285,4652278.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Fulton,Hightstown,duck,organic,967,413889.2023,4661859.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Fulton,Pleasantville,chicken,broiler_1,6095,411499.7124,4653216.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Fulton,Trenton,duck,organic,782,407984.2671,4646722.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Fulton,Newfield,duck,conventional,15199,422251.7266,4671151.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Fulton,Harding,duck,conventional,15233,428328.6207,4649241.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Fulton,Hulmeville,duck,conventional,16676,438351.2907,4669812.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Fulton,Rockaway,duck,conventional,15438,416639.7311,4642099.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Fulton,Hawthorne,chicken,broiler_2,1347,423608.9841,4650774.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Fulton,Trenton,chicken,broiler_2,1852,414921.4509,4647941.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Fulton,Trenton,duck,conventional,16206,414254.8122,4647433.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Fulton,Secaucus,duck,conventional,17063,418999.7177,4674254.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Fulton,Pleasantville,chicken,broiler_1,4545,409138.2324,4651903.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Allegheny,Demarest,duck,conventional,15653,440094.8745,4657478.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Fulton,Newfield,chicken,broiler_2,2273,421576.2618,4665423.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Allegheny,Aberdeen,duck,conventional,15355,441857.366,4666362.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Fulton,Trenton,duck,conventional,15098,409792.4749,4640179.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Fulton,Logan,duck,conventional,15522,435603.6943,4674263.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Allegheny,Demarest,chicken,broiler_2,1647,444762.98,4659457.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Fulton,Pleasantville,chicken,broiler_2,1808,411020.4659,4653200.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Fulton,Pleasantville,duck,conventional,15867,409903.0471,4656490.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Fulton,Providence,duck,organic,374,424789.5161,4640425.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Fulton,Logan,chicken,broiler_2,979,440292.9478,4676579.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Fulton,Providence,chicken,broiler_2,632,422003.0459,4637868.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Fulton,Hightstown,duck,conventional,15240,415988.4154,4663758.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Fulton,Clifton,duck,conventional,15888,421347.0965,4656438.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Fulton,Trenton,chicken,broiler_1,7021,411151.8275,4644603.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Fulton,Dublin,chicken,broiler_2,1553,424475.1739,4640548.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
